OID,field,description
-1,Residential,Residential
-1,Task Specific,Task Specific
-1,Temporary Camp,Temporary Camp
-1,Agricultural,Agricultural
-1,Commercial,Commercial
-1,Communication,Communication
-1,Industrial,Industrial
-1,Logging,Logging
-1,Military,Military
-1,Transportation,Transportation
-1,Utilities,Utilities
-1,Wtr Strg Cnvync,Water Storage and Conveyance
-1,Mining,Mining
-1,Oil and Gas,Oil and Gas
-1,Prospecting,Prospecting
-1,Ranching,Ranching
-1,Settlement,Settlement
-1,Temporary Historic Site,Temporary Historic Site
-1,Unknown,Unknown
-1,Specialty  Site,Specialty Site
